施設・場所名,住所,緯度,経度
京都市立西野小学校,京都府京都市山科区西野櫃川町34,34.98216717,135.8033864
京都市立山科中学校,京都府京都市山科区東野八反畑町50-1,34.97695862,135.8103557
京都市立音羽中学校,京都府京都市山科区大塚野溝町86,34.98286966,135.8284027
京都市立花山中学校,京都府京都市山科区北花山横田町27-1,34.9892649,135.8028162
京都市立安祥寺中学校,京都府京都市山科区西野今屋敷町9-6,34.98597074,135.8128482
京都市立勧修中学校,京都府京都市山科区勧修寺平田町92,34.9662452,135.8120351
京都市立大宅中学校,京都府京都市山科区大宅山田113,34.96705161,135.8215615
京都市立東総合支援学校,京都府京都市山科区大塚高岩3,34.97890683,135.8317893
山科地域体育館,京都府京都市山科区椥辻西浦町1-12,34.9769072,135.8136837
京都市生涯学習総合センター山科,京都府京都市山科区竹鼻竹ノ街道町92 ラクト山科C棟2階,34.99009606,135.8176434
京都府立洛東高等学校,京都府京都市山科区安朱川向町10,34.99683102,135.8170773
一燈園小学校・中学校・高等学校,京都府京都市山科区四ノ宮柳山町29,34.99559108,135.8285934
京都薬科大学,京都府京都府京都市山科区御陵中内町5,34.99111628,135.8092223
京都橘大学,京都府京都市山科区大宅山田町34,34.96853602,135.8261287
本願寺山科別院,京都府京都市山科区東野狐藪町2,34.9834139,135.8153726
東本願寺山科別院長福寺,京都府京都市山科区竹鼻サイカシ町13-17,34.98576158,135.8142605
デイサービス 小鳥のさえずり しらかば苑,京都府京都市山科区厨子奥花鳥町1-144,35.00165345,135.7919187
元京都市立格致小学校,京都府京都市下京区高辻通堀川東入西高辻町,35.00062639,135.7533376
元京都市立有隣小学校,京都府京都市下京区富小路通五条上ル本神明町,34.99715108,135.7643848
京都市学校歴史博物館,京都府京都市下京区御幸町通仏光寺下ル橘町437,35.00073658,135.7659172
元京都市立安寧小学校,京都府京都市下京区東堀川通木津屋橋下ル御方紺屋町1,34.987504,135.7525683
京都市立淳風小学校,京都府京都市下京区大宮通花屋町上ル柿本町609-1,34.99329272,135.7495406
京都市立醒泉小学校,京都府京都市下京区醒ヶ井通松原下ル篠屋町59,34.99818599,135.7528798
京都市立洛央小学校,京都府京都市下京区仏光寺通東洞院東入仏光寺西町345-1,35.00170189,135.7617556
元京都市立植柳小学校,京都府京都市下京区西洞院通花屋町下ル西洞院町466,34.99216892,135.7547831
元京都市立六条院小学校,京都府京都市下京区河原町通上枳殻馬場上ル若松町420,34.99279301,135.7629521
京都市立梅小路小学校,京都府京都市下京区観喜寺町3,34.98827377,135.7451614
京都市立七条小学校,京都府京都市下京区西七条石井町61,34.98717357,135.735116
京都市立七条第三小学校,京都府京都市下京区西七条西石ヶ坪町5,34.99319523,135.7331854
元京都市立崇仁小学校,京都府京都市下京区川端町16,34.98664326,135.766962
京都市立西大路小学校,京都府京都市下京区七条御所ノ内西町71-1,34.9871525,135.7278315
京都市立光徳小学校,京都府京都市下京区中堂寺坊城町26-1,34.99728192,135.744011
京都市立洛友中学校(元郁文中学校),京都府京都市下京区大宮通綾小路下ル綾大宮町51-2,35.00187657,135.7486896
元京都市立梅逕中学校,京都府京都市下京区大宮通八条上ル三丁目東側垣ケ内町248,34.98645351,135.7494457
京都市立七条中学校,京都府京都市下京区西七条御領町32,34.99142597,135.7377211
下京地域体育館,京都府京都市下京区川端町13,34.98640137,135.7662933
京都市総合教育センター,京都府京都市下京区河原町通松原上ル二丁目富永町344,35.00223113,135.7680559
京都市修徳特別養護老人ホーム,京都府京都市下京区新町通松原下ル富永町110-1,34.99797934,135.7569249
ひと・まち交流館 京都,京都府京都市下京区西木屋町通上ノ口上ル梅湊町83-1,34.99322865,135.7651094
京都市立下京中学校,京都府京都市下京区楊梅通新町東入蛭子町120-1,34.99524222,135.7572522
京都市立下京中学校成徳学舎,京都府京都市下京区高辻通室町西入繁昌町290,34.999999,135.757445
京都市立下京渉成小学校,京都府京都市下京区皆山町438-1,34.9900678,135.7623209
池坊学園,京都府京都市下京区室町通四条下ル鶏鉾町491,35.00305103,135.7579273
龍谷大学付属 平安中学校・平安高等学校,京都府京都市下京区御器屋町30,34.9901847,135.7483592
京都産業大学附属中学校・高等学校,京都府京都市下京区中堂寺命婦町1-10,34.99792017,135.7445288
京都市立九条弘道小学校,京都府京都市南区西九条春日町13,34.98105584,135.754696
